@cycle_counter=0 	HTRANS=IDLE 	HBURST=SINGLE 	HSIZE=Byte 	burst_length=x 	HWRITE=x 	HADDR=xxxxxxxx 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=x 	HRESP=OKAY 	data=xxxxxxxxxxxxxxxx 	data_buffer=xxxxxxxxxxxxxxxx 	@local_cycle_counter=0 
@cycle_counter=67 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Doubleword 	burst_length=16 	HWRITE=1 	HADDR=00000080 	HWDATA=7776757473727170 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=7f7e7d7c7b7a7978 	data_buffer=7776757473727170 	@local_cycle_counter=0 

@cycle_counter=68 	HTRANS=NONSEQ 	HBURST=INCR8 	HSIZE=Halfword 	burst_length=8 	HWRITE=1 	HADDR=00000006 	HWDATA=7f7e7d7c7b7a7978 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=0706xxxxxxxxxxxx 	data_buffer=7f7e7d7c7b7a7978 	@local_cycle_counter=1 
@cycle_counter=69 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Halfword 	burst_length=8 	HWRITE=1 	HADDR=00000008 	HWDATA=0706xxxxxxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxxxxxx0908 	data_buffer=0706xxxxxxxxxxxx 	@local_cycle_counter=2 
@cycle_counter=70 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Halfword 	burst_length=8 	HWRITE=1 	HADDR=0000000a 	HWDATA=xxxxxxxxxxxx0908 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxx1312xxxx 	data_buffer=xxxxxxxxxxxx0908 	@local_cycle_counter=3 
@cycle_counter=71 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Halfword 	burst_length=8 	HWRITE=1 	HADDR=0000000c 	HWDATA=xxxxxxxx1312xxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxx1d1cxxxxxxxx 	data_buffer=xxxxxxxx1312xxxx 	@local_cycle_counter=4 
@cycle_counter=72 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Halfword 	burst_length=8 	HWRITE=1 	HADDR=0000000e 	HWDATA=xxxx1d1cxxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=2726xxxxxxxxxxxx 	data_buffer=xxxx1d1cxxxxxxxx 	@local_cycle_counter=5 
@cycle_counter=73 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Halfword 	burst_length=8 	HWRITE=1 	HADDR=00000010 	HWDATA=2726xxxxxxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxxxxxx2928 	data_buffer=2726xxxxxxxxxxxx 	@local_cycle_counter=6 
@cycle_counter=74 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Halfword 	burst_length=8 	HWRITE=1 	HADDR=00000012 	HWDATA=xxxxxxxxxxxx2928 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxx3332xxxx 	data_buffer=xxxxxxxxxxxx2928 	@local_cycle_counter=7 
@cycle_counter=75 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Halfword 	burst_length=8 	HWRITE=1 	HADDR=00000014 	HWDATA=xxxxxxxx3332xxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxx3d3cxxxxxxxx 	data_buffer=xxxxxxxx3332xxxx 	@local_cycle_counter=0 

@cycle_counter=76 	HTRANS=NONSEQ 	HBURST=INCR8 	HSIZE=Byte 	burst_length=8 	HWRITE=0 	HADDR=00000004 	HWDATA=xxxx3d3cxxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxx04xxxxxxxx 	data_buffer=xxxx3d3cxxxxxxxx 	@local_cycle_counter=1 
@cycle_counter=77 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Byte 	burst_length=8 	HWRITE=0 	HADDR=00000005 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=xxxxxx04xxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxx0dxxxxxxxxxx 	data_buffer=xxxxxx04xxxxxxxx 	@local_cycle_counter=2 
@cycle_counter=78 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Byte 	burst_length=8 	HWRITE=0 	HADDR=00000006 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=xxxx05xxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xx16xxxxxxxxxxxx 	data_buffer=xxxx0dxxxxxxxxxx 	@local_cycle_counter=3 
@cycle_counter=79 	HTRANS=BUSY 	HBURST=INCR8 	HSIZE=Byte 	burst_length=8 	HWRITE=0 	HADDR=00000007 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=xx0fxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=1fxxxxxxxxxxxxxx 	data_buffer=xx16xxxxxxxxxxxx 	@local_cycle_counter=4 
@cycle_counter=80 	HTRANS=BUSY 	HBURST=INCR8 	HSIZE=Byte 	burst_length=8 	HWRITE=0 	HADDR=00000007 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=1fxxxxxxxxxxxxxx 	data_buffer=xx16xxxxxxxxxxxx 	@local_cycle_counter=4 
@cycle_counter=81 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Byte 	burst_length=8 	HWRITE=0 	HADDR=00000007 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=1fxxxxxxxxxxxxxx 	data_buffer=xx16xxxxxxxxxxxx 	@local_cycle_counter=4 
@cycle_counter=82 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Byte 	burst_length=8 	HWRITE=0 	HADDR=00000008 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=19xxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxxxxxxxx20 	data_buffer=1fxxxxxxxxxxxxxx 	@local_cycle_counter=5 
@cycle_counter=83 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Byte 	burst_length=8 	HWRITE=0 	HADDR=00000009 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=xxxxxxxxxxxxxx1b 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxxxxxx29xx 	data_buffer=xxxxxxxxxxxxxx20 	@local_cycle_counter=6 
@cycle_counter=84 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Byte 	burst_length=8 	HWRITE=0 	HADDR=0000000a 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=xxxxxxxxxxxx25xx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxxxx32xxxx 	data_buffer=xxxxxxxxxxxx29xx 	@local_cycle_counter=7 
@cycle_counter=85 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Byte 	burst_length=8 	HWRITE=0 	HADDR=0000000b 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=xxxxxxxxxx2fxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxx3bxxxxxx 	data_buffer=xxxxxxxxxx32xxxx 	@local_cycle_counter=0 

@cycle_counter=86 	HTRANS=NONSEQ 	HBURST=INCR4 	HSIZE=Halfword 	burst_length=4 	HWRITE=0 	HADDR=00000006 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=xxxxxxxx39xxxxxx 	HREADY=1 	HRESP=OKAY 	data=0706xxxxxxxxxxxx 	data_buffer=xxxxxxxx3bxxxxxx 	@local_cycle_counter=1 
@cycle_counter=87 	HTRANS=SEQ 	HBURST=INCR4 	HSIZE=Halfword 	burst_length=4 	HWRITE=0 	HADDR=00000008 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=4645xxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxxxxxx0908 	data_buffer=0706xxxxxxxxxxxx 	@local_cycle_counter=2 
@cycle_counter=88 	HTRANS=SEQ 	HBURST=INCR4 	HSIZE=Halfword 	burst_length=4 	HWRITE=0 	HADDR=0000000a 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=xxxxxxxxxxxx0100 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxx1312xxxx 	data_buffer=xxxxxxxxxxxx0908 	@local_cycle_counter=3 
@cycle_counter=89 	HTRANS=SEQ 	HBURST=INCR4 	HSIZE=Halfword 	burst_length=4 	HWRITE=0 	HADDR=0000000c 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=xxxxxxxx0c0bxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxx1d1cxxxxxxxx 	data_buffer=xxxxxxxx1312xxxx 	@local_cycle_counter=0 

@cycle_counter=90 	HTRANS=NONSEQ 	HBURST=INCR 	HSIZE=Halfword 	burst_length=25 	HWRITE=1 	HADDR=00000005 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=xxxx1716xxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxx05xxxxxxxxxx 	data_buffer=xxxx1d1cxxxxxxxx 	@local_cycle_counter=1 
@cycle_counter=91 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Halfword 	burst_length=25 	HWRITE=1 	HADDR=00000006 	HWDATA=xxxx05xxxxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=0f0exxxxxxxxxxxx 	data_buffer=xxxx05xxxxxxxxxx 	@local_cycle_counter=2 
@cycle_counter=92 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Halfword 	burst_length=25 	HWRITE=1 	HADDR=00000008 	HWDATA=0f0exxxxxxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxxxxxx1110 	data_buffer=0f0exxxxxxxxxxxx 	@local_cycle_counter=3 
@cycle_counter=93 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Halfword 	burst_length=25 	HWRITE=1 	HADDR=0000000a 	HWDATA=xxxxxxxxxxxx1110 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxx1b1axxxx 	data_buffer=xxxxxxxxxxxx1110 	@local_cycle_counter=4 
@cycle_counter=94 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Halfword 	burst_length=25 	HWRITE=1 	HADDR=0000000c 	HWDATA=xxxxxxxx1b1axxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxx2524xxxxxxxx 	data_buffer=xxxxxxxx1b1axxxx 	@local_cycle_counter=5 
@cycle_counter=95 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Halfword 	burst_length=25 	HWRITE=1 	HADDR=0000000e 	HWDATA=xxxx2524xxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=2f2exxxxxxxxxxxx 	data_buffer=xxxx2524xxxxxxxx 	@local_cycle_counter=6 
@cycle_counter=96 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Halfword 	burst_length=25 	HWRITE=1 	HADDR=00000010 	HWDATA=2f2exxxxxxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxxxxxx3130 	data_buffer=2f2exxxxxxxxxxxx 	@local_cycle_counter=7 
@cycle_counter=97 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Halfword 	burst_length=25 	HWRITE=1 	HADDR=00000012 	HWDATA=xxxxxxxxxxxx3130 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxx3b3axxxx 	data_buffer=xxxxxxxxxxxx3130 	@local_cycle_counter=8 
@cycle_counter=98 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Halfword 	burst_length=25 	HWRITE=1 	HADDR=00000014 	HWDATA=xxxxxxxx3b3axxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxx4544xxxxxxxx 	data_buffer=xxxxxxxx3b3axxxx 	@local_cycle_counter=9 
@cycle_counter=99 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Halfword 	burst_length=25 	HWRITE=1 	HADDR=00000016 	HWDATA=xxxx4544xxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=4f4exxxxxxxxxxxx 	data_buffer=xxxx4544xxxxxxxx 	@local_cycle_counter=10 
@cycle_counter=100 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Halfword 	burst_length=25 	HWRITE=1 	HADDR=00000018 	HWDATA=4f4exxxxxxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxxxxxx5150 	data_buffer=4f4exxxxxxxxxxxx 	@local_cycle_counter=11 
@cycle_counter=101 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Halfword 	burst_length=25 	HWRITE=1 	HADDR=0000001a 	HWDATA=xxxxxxxxxxxx5150 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxx5b5axxxx 	data_buffer=xxxxxxxxxxxx5150 	@local_cycle_counter=12 
@cycle_counter=102 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Halfword 	burst_length=25 	HWRITE=1 	HADDR=0000001c 	HWDATA=xxxxxxxx5b5axxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxx6564xxxxxxxx 	data_buffer=xxxxxxxx5b5axxxx 	@local_cycle_counter=13 
@cycle_counter=103 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Halfword 	burst_length=25 	HWRITE=1 	HADDR=0000001e 	HWDATA=xxxx6564xxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=6f6exxxxxxxxxxxx 	data_buffer=xxxx6564xxxxxxxx 	@local_cycle_counter=14 
@cycle_counter=104 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Halfword 	burst_length=25 	HWRITE=1 	HADDR=00000020 	HWDATA=6f6exxxxxxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxxxxxx7170 	data_buffer=6f6exxxxxxxxxxxx 	@local_cycle_counter=15 
@cycle_counter=105 	HTRANS=BUSY 	HBURST=INCR 	HSIZE=Halfword 	burst_length=25 	HWRITE=1 	HADDR=00000022 	HWDATA=xxxxxxxxxxxx7170 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxx7b7axxxx 	data_buffer=xxxxxxxxxxxx7170 	@local_cycle_counter=16 
@cycle_counter=106 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Halfword 	burst_length=25 	HWRITE=1 	HADDR=00000022 	HWDATA=xxxxxxxxxxxx7170 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxx7b7axxxx 	data_buffer=xxxxxxxxxxxx7170 	@local_cycle_counter=16 
@cycle_counter=107 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Halfword 	burst_length=25 	HWRITE=1 	HADDR=00000024 	HWDATA=xxxxxxxx7b7axxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxx8584xxxxxxxx 	data_buffer=xxxxxxxx7b7axxxx 	@local_cycle_counter=17 
@cycle_counter=108 	HTRANS=BUSY 	HBURST=INCR 	HSIZE=Halfword 	burst_length=25 	HWRITE=1 	HADDR=00000026 	HWDATA=xxxx8584xxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=8f8exxxxxxxxxxxx 	data_buffer=xxxx8584xxxxxxxx 	@local_cycle_counter=18 
@cycle_counter=109 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Halfword 	burst_length=25 	HWRITE=1 	HADDR=00000026 	HWDATA=xxxx8584xxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=8f8exxxxxxxxxxxx 	data_buffer=xxxx8584xxxxxxxx 	@local_cycle_counter=18 
@cycle_counter=110 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Halfword 	burst_length=25 	HWRITE=1 	HADDR=00000028 	HWDATA=8f8exxxxxxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxxxxxx9190 	data_buffer=8f8exxxxxxxxxxxx 	@local_cycle_counter=19 
@cycle_counter=111 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Halfword 	burst_length=25 	HWRITE=1 	HADDR=0000002a 	HWDATA=xxxxxxxxxxxx9190 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxx9b9axxxx 	data_buffer=xxxxxxxxxxxx9190 	@local_cycle_counter=20 
@cycle_counter=112 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Halfword 	burst_length=25 	HWRITE=1 	HADDR=0000002c 	HWDATA=xxxxxxxx9b9axxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxa5a4xxxxxxxx 	data_buffer=xxxxxxxx9b9axxxx 	@local_cycle_counter=21 
@cycle_counter=113 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Halfword 	burst_length=25 	HWRITE=1 	HADDR=0000002e 	HWDATA=xxxxa5a4xxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=afaexxxxxxxxxxxx 	data_buffer=xxxxa5a4xxxxxxxx 	@local_cycle_counter=22 
@cycle_counter=114 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Halfword 	burst_length=25 	HWRITE=1 	HADDR=00000030 	HWDATA=afaexxxxxxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxxxxxxb1b0 	data_buffer=afaexxxxxxxxxxxx 	@local_cycle_counter=23 
@cycle_counter=115 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Halfword 	burst_length=25 	HWRITE=1 	HADDR=00000032 	HWDATA=xxxxxxxxxxxxb1b0 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxxbbbaxxxx 	data_buffer=xxxxxxxxxxxxb1b0 	@local_cycle_counter=24 
@cycle_counter=116 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Halfword 	burst_length=25 	HWRITE=1 	HADDR=00000034 	HWDATA=xxxxxxxxbbbaxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxc5c4xxxxxxxx 	data_buffer=xxxxxxxxbbbaxxxx 	@local_cycle_counter=0 

@cycle_counter=117 	HTRANS=NONSEQ 	HBURST=INCR16 	HSIZE=Word 	burst_length=16 	HWRITE=0 	HADDR=0000000a 	HWDATA=xxxxc5c4xxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxx0302xxxx 	data_buffer=xxxxc5c4xxxxxxxx 	@local_cycle_counter=1 
@cycle_counter=118 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Word 	burst_length=16 	HWRITE=0 	HADDR=0000000c 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=xxxxxxxx0302xxxx 	HREADY=1 	HRESP=OKAY 	data=0f0e0d0cxxxxxxxx 	data_buffer=xxxxxxxx0302xxxx 	@local_cycle_counter=2 
@cycle_counter=119 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Word 	burst_length=16 	HWRITE=0 	HADDR=00000010 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=07060504xxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxx13121110 	data_buffer=0f0e0d0cxxxxxxxx 	@local_cycle_counter=3 
@cycle_counter=120 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Word 	burst_length=16 	HWRITE=0 	HADDR=00000014 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=xxxxxxxx0c0b0a09 	HREADY=1 	HRESP=OKAY 	data=1f1e1d1cxxxxxxxx 	data_buffer=xxxxxxxx13121110 	@local_cycle_counter=4 
@cycle_counter=121 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Word 	burst_length=16 	HWRITE=0 	HADDR=00000018 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=19181716xxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxx23222120 	data_buffer=1f1e1d1cxxxxxxxx 	@local_cycle_counter=5 
@cycle_counter=122 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Word 	burst_length=16 	HWRITE=0 	HADDR=0000001c 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=xxxxxxxx1e1d1c1b 	HREADY=1 	HRESP=OKAY 	data=2f2e2d2cxxxxxxxx 	data_buffer=xxxxxxxx23222120 	@local_cycle_counter=6 
@cycle_counter=123 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Word 	burst_length=16 	HWRITE=0 	HADDR=00000020 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=2b2a2928xxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxx33323130 	data_buffer=2f2e2d2cxxxxxxxx 	@local_cycle_counter=7 
@cycle_counter=124 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Word 	burst_length=16 	HWRITE=0 	HADDR=00000024 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=xxxxxxxx302f2e2d 	HREADY=1 	HRESP=OKAY 	data=3f3e3d3cxxxxxxxx 	data_buffer=xxxxxxxx33323130 	@local_cycle_counter=8 
@cycle_counter=125 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Word 	burst_length=16 	HWRITE=0 	HADDR=00000028 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=3d3c3b3axxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxx43424140 	data_buffer=3f3e3d3cxxxxxxxx 	@local_cycle_counter=9 
@cycle_counter=126 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Word 	burst_length=16 	HWRITE=0 	HADDR=0000002c 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=xxxxxxxx4241403f 	HREADY=1 	HRESP=OKAY 	data=4f4e4d4cxxxxxxxx 	data_buffer=xxxxxxxx43424140 	@local_cycle_counter=10 
@cycle_counter=127 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Word 	burst_length=16 	HWRITE=0 	HADDR=00000030 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=4f4e4d4cxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxx53525150 	data_buffer=4f4e4d4cxxxxxxxx 	@local_cycle_counter=11 
@cycle_counter=128 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Word 	burst_length=16 	HWRITE=0 	HADDR=00000034 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=xxxxxxxx54535251 	HREADY=1 	HRESP=OKAY 	data=5f5e5d5cxxxxxxxx 	data_buffer=xxxxxxxx53525150 	@local_cycle_counter=12 
@cycle_counter=129 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Word 	burst_length=16 	HWRITE=0 	HADDR=00000038 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=61605f5exxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxx63626160 	data_buffer=5f5e5d5cxxxxxxxx 	@local_cycle_counter=13 
@cycle_counter=130 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Word 	burst_length=16 	HWRITE=0 	HADDR=0000003c 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=xxxxxxxx66656463 	HREADY=1 	HRESP=OKAY 	data=6f6e6d6cxxxxxxxx 	data_buffer=xxxxxxxx63626160 	@local_cycle_counter=14 
@cycle_counter=131 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Word 	burst_length=16 	HWRITE=0 	HADDR=00000040 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=73727170xxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxx73727170 	data_buffer=6f6e6d6cxxxxxxxx 	@local_cycle_counter=15 
@cycle_counter=132 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Word 	burst_length=16 	HWRITE=0 	HADDR=00000044 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=xxxxxxxx78777675 	HREADY=1 	HRESP=OKAY 	data=7f7e7d7cxxxxxxxx 	data_buffer=xxxxxxxx73727170 	@local_cycle_counter=0 

@cycle_counter=133 	HTRANS=NONSEQ 	HBURST=INCR16 	HSIZE=Doubleword 	burst_length=16 	HWRITE=0 	HADDR=00000002 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=85848382xxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=070605040302xxxx 	data_buffer=7f7e7d7cxxxxxxxx 	@local_cycle_counter=1 
@cycle_counter=134 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Doubleword 	burst_length=16 	HWRITE=0 	HADDR=00000008 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=8e8d8c8b8a89xxxx 	HREADY=1 	HRESP=OKAY 	data=0f0e0d0c0b0a0908 	data_buffer=070605040302xxxx 	@local_cycle_counter=2 
@cycle_counter=135 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Doubleword 	burst_length=16 	HWRITE=0 	HADDR=00000010 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=0706050403020100 	HREADY=1 	HRESP=OKAY 	data=1716151413121110 	data_buffer=0f0e0d0c0b0a0908 	@local_cycle_counter=3 
@cycle_counter=136 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Doubleword 	burst_length=16 	HWRITE=0 	HADDR=00000018 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=100f0e0d0c0b0a09 	HREADY=1 	HRESP=OKAY 	data=1f1e1d1c1b1a1918 	data_buffer=1716151413121110 	@local_cycle_counter=4 
@cycle_counter=137 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Doubleword 	burst_length=16 	HWRITE=0 	HADDR=00000020 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=1918171615141312 	HREADY=1 	HRESP=OKAY 	data=2726252423222120 	data_buffer=1f1e1d1c1b1a1918 	@local_cycle_counter=5 
@cycle_counter=138 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Doubleword 	burst_length=16 	HWRITE=0 	HADDR=00000028 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=2221201f1e1d1c1b 	HREADY=1 	HRESP=OKAY 	data=2f2e2d2c2b2a2928 	data_buffer=2726252423222120 	@local_cycle_counter=6 
